,PGR,FGFR4,UBE2C,SHCBP1,IFNG,CKAP2L,SCUBE2,FOXM1,TROAP,NDC80,CENPE,MAPT,RRM2,IGF1R,CCNE1,NCAPG,KIF2C,RACGAP1,BUB1B,PTTG1,MKI67,CDC20,CD8A,GREB1,BAG1,BUB1,PLK1,BCL2,GTSE1,KIF23
PGR,1.0,-0.2908,-0.3887,-0.2268,-0.2576,-0.3268,0.5634,-0.4015,-0.3681,-0.3274,-0.3468,0.629,-0.3127,0.4206,-0.4884,-0.3436,-0.4115,-0.2693,-0.2563,-0.3744,-0.3231,-0.4219,-0.1687,0.6418,0.1775,-0.3859,-0.4093,0.4748,-0.4398,-0.2964
FGFR4,-0.2908,1.0,0.2008,0.1286,0.0962,0.1388,-0.2326,0.1453,0.2307,0.0248,0.1244,-0.1945,0.1539,-0.2977,0.197,0.1615,0.168,0.1189,0.0978,0.1421,0.1363,0.1979,0.107,-0.153,-0.0939,0.1391,0.1634,-0.3442,0.1832,0.0959
UBE2C,-0.3887,0.2008,1.0,0.4009,0.2343,0.806,-0.4573,0.8343,0.8858,0.733,0.7943,-0.4304,0.6216,-0.2674,0.6902,0.862,0.8682,0.7884,0.6734,0.8777,0.7247,0.8704,0.102,-0.2785,-0.1017,0.8259,0.8035,-0.4133,0.7971,0.7974
SHCBP1,-0.2268,0.1286,0.4009,1.0,0.1309,0.4224,-0.221,0.4256,0.4379,0.3908,0.3682,-0.229,0.2196,-0.129,0.3731,0.4531,0.4328,0.3002,0.3974,0.3194,0.4449,0.4314,0.0467,-0.1609,-0.1728,0.4006,0.4081,-0.1782,0.3595,0.3294
IFNG,-0.2576,0.0962,0.2343,0.1309,1.0,0.2237,-0.3422,0.247,0.1846,0.291,0.2347,-0.3671,0.1854,-0.3246,0.2796,0.2592,0.2621,0.1726,0.1915,0.3049,0.2202,0.2606,0.7514,-0.284,-0.1974,0.312,0.2324,-0.1963,0.2624,0.1978
CKAP2L,-0.3268,0.1388,0.806,0.4224,0.2237,1.0,-0.3963,0.8241,0.771,0.7212,0.8491,-0.3922,0.6159,-0.1829,0.6323,0.8626,0.8314,0.8265,0.719,0.7476,0.8051,0.7681,0.0805,-0.2525,-0.1354,0.9015,0.7648,-0.2961,0.7799,0.8278
SCUBE2,0.5634,-0.2326,-0.4573,-0.221,-0.3422,-0.3963,1.0,-0.4822,-0.397,-0.5006,-0.4471,0.6195,-0.3929,0.4785,-0.5804,-0.4688,-0.5043,-0.352,-0.3827,-0.4775,-0.3687,-0.5109,-0.2115,0.5032,0.1614,-0.5024,-0.4951,0.5327,-0.5149,-0.4101
FOXM1,-0.4015,0.1453,0.8343,0.4256,0.247,0.8241,-0.4822,1.0,0.8336,0.7357,0.7936,-0.478,0.5938,-0.2853,0.7154,0.8326,0.8624,0.7556,0.6821,0.7725,0.8053,0.8272,0.0862,-0.3243,-0.1314,0.8404,0.8066,-0.3716,0.8309,0.8079
TROAP,-0.3681,0.2307,0.8858,0.4379,0.1846,0.771,-0.397,0.8336,1.0,0.6359,0.7586,-0.3754,0.5758,-0.2432,0.6513,0.8019,0.8347,0.7648,0.6029,0.8043,0.7423,0.8427,0.0734,-0.2395,-0.1151,0.7631,0.7928,-0.3668,0.7745,0.7367
NDC80,-0.3274,0.0248,0.733,0.3908,0.291,0.7212,-0.5006,0.7357,0.6359,1.0,0.721,-0.4504,0.5447,-0.2776,0.6177,0.7975,0.7517,0.6759,0.7295,0.7528,0.629,0.7069,0.119,-0.3103,-0.0763,0.8042,0.6926,-0.3232,0.7065,0.7267
