Hugo_Symbol,mean,sd
A1BG,5.583902,0.16194554
A1CF,5.3822136,0.17424922
A2M,9.108578,0.9277759
A2ML1,5.614976,0.7769659
A4GALT,6.436728,0.47303554
A4GNT,5.449076,0.16436298
AAA1,5.38589,0.15620245
AAAS,6.213962,0.24259286
AACS,7.469759,0.55769527
AADAC,5.3914475,0.24788862
AADACL2,5.3918376,0.14520656
AADACL3,5.471249,0.1328612
AADACL4,5.3456697,0.17955558
AADAT,6.4727955,0.7269446
AAK1,5.9773,0.31156147
AAMP,6.814067,0.41301146
AANAT,5.2576957,0.14621213
AARS2,7.270144,0.33302975
AASDH,7.135451,0.3372968
AASDHPPT,6.962495,0.52642894
AASS,5.681293,0.21656387
AATBC,5.4396014,0.23354898
AATF,8.657376,0.47746223
AATK,5.579296,0.17678747
ABAT,6.181346,0.6464607
ABCA1,9.288955,0.55742866
ABCA10,5.521609,0.17089503
ABCA11P,5.7960663,0.22749999
ABCA12,5.817853,0.537716
ABCA13,5.3581405,0.32089978
ABCA17P,5.545465,0.15985179
ABCA2,6.273714,0.41863826
ABCA3,7.624261,0.889434
ABCA4,6.294648,0.5868119
ABCA5,5.8974824,0.34149933
ABCA6,6.106625,0.49228397
ABCA7,6.560651,0.49190778
ABCA8,6.37799,0.75947845
ABCA9,5.8873434,0.36812878
ABCB1,6.050934,0.3897045
ABCB10,7.087425,0.44175372
ABCB11,5.4666896,0.13410527
ABCB4,5.5478597,0.22636671
ABCB5,5.174699,0.13318513
ABCB6,7.3432956,0.57663095
ABCB7,7.6415377,0.38627496
ABCB8,5.552361,0.17197354
ABCB9,7.780014,0.7999848
ABCC1,6.231902,0.3658592
ABCC10,6.3246384,0.29930243
ABCC11,6.986496,1.4170294
ABCC12,6.219031,0.86087847
ABCC13,5.6098595,0.5689923
ABCC2,5.5992713,0.29441056
ABCC3,8.103776,1.0197061
ABCC4,6.241427,0.6280418
ABCC5,8.260082,0.8125827
ABCC6,5.6313324,0.38235864
ABCC8,6.540162,1.096799
ABCC9,5.623287,0.19045411
ABCD1,6.5529904,0.5620361
ABCD2,5.4300804,0.15106493
ABCD3,6.9369144,0.49731964
ABCD4,5.756496,0.19524604
ABCE1,7.80653,0.42504552
ABCF1,6.828882,0.4359558
ABCF2,7.410162,0.40135884
ABCF3,6.653347,0.3365877
ABCG1,7.1701217,0.60347116
ABCG2,5.370485,0.17810567
ABCG4,5.509596,0.1814116
ABCG5,5.776156,0.17532367
ABCG8,5.3899903,0.13031706
ABHD1,5.742964,0.34860393
ABHD10,7.251917,0.4367957
ABHD11,7.0035286,0.65443647
ABHD12,7.47705,0.6894803
ABHD12B,5.615737,0.45361978
ABHD13,5.4480324,0.13453461
ABHD14A,7.7493587,0.5152431
ABHD14B,6.9529667,0.4582269
ABHD15,6.3976073,0.42280462
ABHD2,6.1111546,0.3944575
ABHD3,7.405356,0.65029496
ABHD4,6.4042554,0.32100317
ABHD5,6.9301667,0.44337967
ABHD6,6.322056,0.3167139
ABHD8,8.221407,0.45066428
ABI1,7.4490857,0.34853116
ABI2,7.6632314,0.40934023
ABI3,6.5606103,0.41085187
ABI3BP,6.860805,0.7973758
ABL1,8.324637,0.4176464
ABL2,5.546216,0.21097192
ABLIM1,9.249963,0.7390147
ABLIM2,6.1485615,0.4383814
ABLIM3,6.122422,0.55535096
ABO,5.347639,0.1310449
ABR,8.788925,0.4531278
ABRA,5.418562,0.122685716
ABT1,5.8103185,0.24028471
ABTB1,7.736693,0.46633613
ABTB2,5.7354836,0.42574024
ACAA1,8.515318,0.46617585
ACAA2,7.3855453,0.5328107
ACACA,9.191869,0.69094855
ACACB,7.7740355,0.89281553
ACAD10,6.787309,0.3768709
ACAD11,7.8582373,0.46189278
ACAD8,7.399956,0.43276596
ACAD9,8.3171,0.3030037
ACADL,5.420215,0.3469217
ACADM,8.021518,0.6797269
ACADS,6.2016535,0.42257679
ACADSB,6.1683216,0.5504981
ACADVL,8.935316,0.5208363
ACAN,5.546233,0.44708556
ACAP1,6.589446,0.7426894
ACAP2,6.825375,0.3648994
ACAP3,5.723736,0.25535798
ACAT1,9.327774,0.63113666
ACAT2,7.7670927,0.6168181
ACBD3,9.02563,0.4790181
ACBD4,5.756391,0.23133494
ACBD5,5.7054114,0.23261534
ACBD6,7.7871013,0.3592861
ACBD7,5.747204,0.55708784
ACCS,6.302568,0.3631464
ACCSL,5.4835453,0.14388207
ACD,7.501228,0.38594785
ACE,5.4156585,0.1852033
ACE2,5.623849,0.7039007
ACER1,5.3756633,0.11840257
ACER2,5.5453625,0.17329392
ACER3,7.8495626,0.72867197
ACHE,5.3596992,0.19924438
ACIN1,8.6917715,0.40624195
ACLY,10.158705,0.55964243
ACMSD,6.382805,0.54543215
ACO1,9.321408,0.53057677
ACO2,7.544032,0.4426695
ACOT1,7.3207755,0.694964
ACOT11,5.930635,0.41338345
ACOT12,5.454648,0.13979983
ACOT13,8.538201,0.49803844
ACOT2,6.922332,0.57216084
ACOT4,8.185917,0.8922836
ACOT6,5.309733,0.17039336
ACOT7,9.01002,0.6704349
ACOT8,6.162532,0.30772674
ACOT9,7.128415,0.60329425
ACOX1,6.823214,0.4412464
ACOX2,8.444824,1.5862734
ACOX3,8.083879,0.6040869
ACOXL,5.302837,0.12968142
ACP1,10.121404,0.6376055
ACP2,7.9626718,0.5062713
ACP5,7.11421,0.89871514
ACP6,6.9334383,0.53023314
ACPP,5.552541,0.3099138
ACR,5.529226,0.16361593
ACRBP,5.5915947,0.16604811
ACRV1,5.6296473,0.2154461
ACSBG1,5.5245004,0.3411527
ACSBG2,5.4073324,0.13877448
ACSF2,6.8417935,0.73991716
ACSF3,5.566372,0.22305858
ACSL1,7.107869,0.7854112
ACSL3,9.683568,0.6366264
ACSL4,6.967104,0.62720734
ACSL5,7.7783914,0.77063215
ACSL6,5.309744,0.17508996
ACSM1,5.389057,0.27124053
ACSM2A,5.375649,0.08719186
ACSM2B,5.327419,0.14248855
ACSM3,5.8803535,0.47629365
ACSM4,5.3664336,0.13053387
ACSM5,5.8213983,0.27867725
ACSS1,7.027485,0.66656214
ACSS2,9.671758,0.527801
ACSS3,5.3654227,0.1666132
ACTA1,6.333295,1.0197934
ACTA2,12.687738,0.8068586
ACTB,12.928859,0.78361595
ACTBL2,5.189742,0.14418274
ACTC1,5.3583345,0.25559616
ACTG1,11.715427,1.0522277
ACTG2,8.818826,1.6955969
ACTL6A,8.276403,0.5681857
ACTL6B,5.502985,0.36010557
ACTL7A,5.3597097,0.13490787
ACTL7B,5.6477036,0.19753967
ACTL8,5.583888,0.33832288
ACTL9,5.3068733,0.13656153
ACTN1,10.539012,0.70067215
ACTN2,5.9705877,0.22265452
ACTN3,5.3282337,0.12893693
ACTN4,9.927199,0.5205664
ACTR10,8.737297,0.5240987
ACTR1A,9.252295,0.35706642
ACTR1B,7.787389,0.3013589
ACTR2,10.364489,0.3873697
ACTR3,7.460365,0.7847452
ACTR3B,6.159065,0.7756465
ACTR3C,5.5669856,0.21108156
ACTR5,7.168745,0.33387142
ACTR6,7.996148,0.4802382
ACTR8,6.120847,0.23721594
ACTRT1,6.062003,0.35703766
ACTRT2,5.2953486,0.12690707
ACVR1,8.671741,0.44561693
ACVR1B,8.843114,0.5345861
ACVR1C,5.3282924,0.139912
ACVR2A,6.7272997,0.3517252
ACVR2B,5.5609627,0.25189644
ACVRL1,6.2730527,0.3817172
ACY1,8.162712,0.54256994
ACY3,5.501373,0.5336628
ACYP1,8.279718,0.44198066
ACYP2,7.728996,0.56810236
ADA,7.603446,0.6251682
ADAD1,5.2357426,0.13314922
ADAD2,5.3796797,0.1644826
ADAL,5.9811735,0.28873372
ADAM10,6.7247148,0.4060427
ADAM11,5.370754,0.17710242
ADAM12,5.7298923,0.25915635
ADAM15,11.440437,0.6922319
ADAM17,7.510064,0.51689494
ADAM18,5.414348,0.14110573
ADAM19,7.8641443,0.731457
ADAM2,5.4845843,0.25041345
ADAM20,5.2631955,0.14307606
ADAM21,5.532493,0.14141609
ADAM22,5.435797,0.193305
ADAM23,5.4766054,0.17279653
ADAM28,5.602501,0.29427987
ADAM29,5.427449,0.1663335
ADAM30,5.3439236,0.13841239
ADAM32,5.7770452,0.38092643
ADAM33,5.537143,0.14863165
ADAM3A,5.2240453,0.13084541
ADAM6,5.4459443,0.1662421
ADAM7,5.9004774,0.43430638
ADAM8,6.6018114,0.5686109
ADAM9,6.6574173,0.5984359
ADAMDEC1,6.8298907,1.1671927
ADAMTS1,6.366857,0.6172527
ADAMTS10,5.395553,0.14346838
ADAMTS12,5.331138,0.1276884
ADAMTS13,5.4420533,0.18420592
ADAMTS14,5.4924936,0.19653179
ADAMTS15,5.3933325,0.16240264
ADAMTS16,5.4108653,0.12684542
ADAMTS17,5.5380025,0.15076284
ADAMTS18,5.4713197,0.16582282
ADAMTS19,5.7826524,0.36112756
ADAMTS2,5.865515,0.2936702
ADAMTS20,5.333151,0.14343911
ADAMTS3,5.3062296,0.17032878
ADAMTS4,5.506257,0.16843837
ADAMTS5,5.691836,0.35578835
ADAMTS6,5.7214975,0.23783691
ADAMTS7,5.577606,0.23150608
ADAMTS8,5.505545,0.3452835
ADAMTS9,6.6279593,0.5653298
ADAMTSL1,5.547874,0.18538056
ADAMTSL2,7.2573886,0.69983065
ADAMTSL3,5.661801,0.24293685
ADAMTSL4,5.821481,0.36189622
ADAMTSL5,5.715332,0.24827014
ADAP1,8.456169,0.76356375
ADAP2,8.224205,0.58250266
ADAR,9.739375,0.55769986
ADARB1,8.498179,0.5477717
ADARB2,5.4839544,0.20965818
ADAT1,7.1908174,0.40391475
ADAT2,5.560871,0.14154294
ADAT3,6.255752,0.3149715
ADCK1,6.7777634,0.3649299
ADCK2,8.882277,0.39987066
ADCK5,6.491206,0.39281195
ADCY1,6.8473067,1.2993724
ADCY10,5.4261775,0.14112197
ADCY10P1,6.2927775,0.4434188
ADCY2,5.970562,0.20811653
ADCY3,9.390427,0.5599414
ADCY4,7.0226912,0.7010951
ADCY5,5.385471,0.22173047
ADCY6,7.516965,0.5787984
ADCY7,6.231105,0.27853036
ADCY8,5.291752,0.18989716
ADCY9,7.01568,0.6218225
ADCYAP1,5.8053455,0.4572574
ADCYAP1R1,5.336355,0.13276024
ADD1,10.9425,0.3936885
ADD2,5.2995443,0.146208
ADD3,6.4189157,0.7609751
ADH1A,7.1383862,1.4856058
ADH1B,5.876049,0.63871217
ADH1C,5.652021,0.5596814
ADH4,5.3712893,0.21172452
ADH5,7.530424,0.5250212
ADH6,5.4888144,0.13597193
ADH7,5.3206077,0.12903057
ADHFE1,6.910298,0.60183233
ADI1,5.6047535,0.38553163
ADIG,5.4664726,0.16623665
ADIPOQ,5.6499586,0.3830411
ADIPOR1,8.517349,0.45453468
ADIPOR2,9.535095,0.71722555
ADK,8.486282,0.4972405
ADM,8.318625,1.2570679
ADM2,6.976118,0.4874111
ADNP,7.835768,0.4572296
ADNP2,7.873014,0.34547275
ADO,7.9417987,0.35706633
ADORA1,6.851374,0.94804645
ADORA2A,6.772498,0.80326396
ADORA2B,5.945899,0.51587814
ADORA3,6.938383,0.4496902
ADPGK,8.126515,0.32952017
ADPRH,5.902659,0.32908294
ADPRHL1,6.7033067,0.5899221
ADPRHL2,7.1450853,0.37035802
ADRA1A,5.440105,0.16779831
ADRA1B,5.722052,0.35501227
ADRA1D,5.809207,0.22694775
ADRA2A,6.225271,0.46652257
ADRA2B,5.8614464,0.19862749
ADRA2C,5.619736,0.14502148
ADRB1,5.344287,0.23814465
ADRB2,6.5403633,0.5147215
ADRB3,5.3940587,0.13537589
ADRM1,8.085255,0.48428497
ADSL,9.687563,0.42213917
AEBP1,10.294279,1.0019703
AEBP2,6.454344,0.29218665
AEN,7.8295703,0.42795646
AFAP1,6.3845277,0.24626105
AFAP1L1,6.0116115,0.2689381
AFAP1L2,7.1107306,0.6749926
AFF1,6.9097185,0.39232767
AFF2,5.520708,0.19602017
AFF3,8.033768,1.5041707
AFF4,7.83099,0.665074
AFG3L2,8.845122,0.45904943
AFM,5.1608825,0.16997956
AFMID,7.2641025,0.6911481
AFP,5.8237395,0.7794454
AFTPH,6.822531,0.51064366
AGA,8.084046,0.5222299
AGAP1,8.132674,0.48822093
AGAP11,5.3678913,0.12040375
AGAP2,5.359296,0.13941476
AGAP3,7.7799363,0.42131135
AGAP4,5.889543,0.23031092
AGAP6,9.01432,0.53340167
AGBL1,5.270575,0.14248297
AGBL2,5.4232645,0.14020005
AGBL4,5.343454,0.18849573
AGBL5,7.5629363,0.5256079
AGER,5.5338874,0.22258852
AGFG1,6.4867244,0.35782143
AGFG2,5.8553553,0.21827143
AGGF1,7.630762,0.372376
AGK,7.793163,0.3342794
AGL,8.67241,0.92117226
AGMAT,5.572295,0.18473004
AGPAT1,7.423917,0.3946951
AGPAT2,7.6752973,0.60408455
AGPAT3,6.1042457,0.31513557
AGPAT4,6.4759784,0.4770783
AGPAT5,6.4363065,0.4381939
AGPHD1,6.4889607,0.47129145
AGPS,7.438824,0.661086
AGR2,7.736655,1.4987868
AGR3,9.175484,2.2333474
AGRN,8.261899,0.70757234
AGRP,5.5307217,0.204687
AGT,6.024232,0.88940597
AGTPBP1,7.0266113,0.4423415
AGTR1,6.5887465,1.4734159
AGTR2,5.5372477,0.19337034
AGTRAP,7.3717237,0.44668487
AGXT,5.4891214,0.2519646
AGXT2,5.2881255,0.14873344
AHCTF1,8.106824,0.4352292
AHCY,9.394163,0.72186774
AHCYL1,10.20184,0.50375736
AHCYL2,6.890538,0.43951216
AHDC1,6.4542346,0.4611817
AHI1,7.7824335,0.57361376
AHNAK,11.290913,0.61154926
AHNAK2,8.303574,0.9856812
AHR,11.319663,0.6145591
AHRR,5.3565435,0.14969157
AHSA1,8.522788,0.42404467
AHSG,5.500042,0.19884613
AHSP,5.514581,0.19857687
AICDA,5.261222,0.16430016
AIDA,5.9777145,0.28900048
AIF1,7.8397427,0.8148012
AIF1L,6.954986,0.9039452
AIFM1,9.092588,0.43291312
AIFM2,5.97282,0.26825035
AIFM3,5.6444964,0.24307452
AIG1,7.7429576,0.5837769
AIM2,6.4077625,0.79989004
AIMP1,5.377493,0.20544961
AIMP2,9.508624,0.43714336
AIP,8.820565,0.43614486
AIPL1,5.372795,0.15745544
AIRE,11.846827,0.7066458
AJAP1,5.6772714,0.22713019
AK1,6.9744167,0.41517654
AK2,8.823066,0.4939334
AK3,9.3650255,0.48200408
AK4,8.198117,1.0657027
AK5,5.963005,0.7657475
AK7,5.3130984,0.14296223
AKAIN1,5.423459,0.1569185
AKAP1,6.32649,0.49765164
AKAP10,6.286895,0.34375456
AKAP11,7.4698114,0.46183053
AKAP12,6.004803,0.366232
AKAP13,6.695695,0.41357383
AKAP14,5.3739758,0.2364637
AKAP3,5.7102003,0.16677189
AKAP4,5.3043976,0.15019138
AKAP5,12.265063,0.5284855
AKAP6,5.304412,0.15370764
AKAP7,7.111345,0.46884614
AKAP8,7.805413,0.34060508
AKAP8L,6.9658327,0.5482265
AKAP9,5.446427,0.17418516
AKD1,5.452808,0.15914364
AKIRIN1,7.367868,0.6010015
AKIRIN2,8.376717,0.44977134
AKNA,7.4929004,0.6750836
AKNAD1,5.422152,0.14522442
AKR1A1,10.570928,0.449455
AKR1B1,8.796838,0.70439464
AKR1B10,5.704025,0.8264488
AKR1B15,5.708376,0.81038755
AKR1C1,5.2405715,0.13159001
AKR1C2,7.447637,1.5659658
AKR1C3,8.430075,1.1140832
AKR1C4,7.075206,1.149047
AKR1C6P,5.264828,0.12807651
AKR1D1,12.993437,0.56861085
AKR1E2,5.4172325,0.2280875
AKR7A2,10.0445,0.5392843
AKR7A3,9.342267,1.2723264
AKR7L,6.050865,0.4783942
AKT1,10.37051,0.56778735
AKT1S1,5.7433534,0.29465422
AKT2,5.679939,0.2169645
AKT3,5.5247817,0.17715915
AKTIP,6.454426,0.503922
ALAD,7.9086165,0.47257343
ALAS1,5.9242344,0.2074424
ALAS2,5.50084,0.15309311
ALB,6.2319155,1.3812811
ALCAM,9.087263,1.0368575
ALDH16A1,6.6613264,0.34275174
ALDH18A1,8.440663,0.47492766
ALDH1A1,7.6643734,1.0121571
ALDH1A2,6.1647067,0.699344
ALDH1A3,7.789032,0.9446934
ALDH1B1,5.9896703,0.39896262
ALDH1L1,5.5726213,0.46247512
ALDH1L2,6.0640583,0.41244075
ALDH2,8.743999,0.80141264
ALDH3A1,5.4560156,0.24914144
ALDH3A2,9.169067,0.7907781
ALDH3B1,6.7776647,0.5692994
ALDH3B2,9.332895,1.678397
ALDH4A1,6.9283195,0.65318006
ALDH5A1,6.917958,0.59252286
ALDH6A1,8.37407,0.64476764
ALDH7A1,9.180099,0.54855263
ALDH8A1,5.691222,0.266567
ALDH9A1,11.525295,0.4544127
ALDOA,11.051859,1.0421703
ALDOB,6.276478,0.5111399
ALDOC,7.892216,0.9521362
ALG1,6.552082,0.42460883
ALG10,5.6976185,0.2067723
ALG10B,5.9264503,0.30565464
ALG11,5.722794,0.55906165
ALG12,5.8679094,0.2143947
ALG13,8.095738,0.54781145
ALG14,6.693898,0.45288414
ALG1L,6.7025237,1.1507064
ALG1L2,5.3656774,0.12327247
ALG2,5.8993735,0.19721667
ALG3,8.611033,0.5210283
ALG5,8.610209,0.56101173
ALG6,7.789946,0.45616475
ALG8,8.633224,0.72871405
ALG9,7.7675085,0.3454406
ALK,5.570612,0.19999397
ALKBH1,6.807954,0.34835887
ALKBH2,7.720223,0.4494845
ALKBH3,7.8376794,0.4929472
ALKBH4,6.0985966,0.25480825
ALKBH5,11.213807,0.36284095
ALKBH6,7.150729,0.36447522
ALKBH7,7.889864,0.44236293
ALKBH8,6.2418556,0.3383135
ALLC,5.3109026,0.13801065
ALMS1,6.4934835,0.3579685
ALOX12,5.3468037,0.22542082
ALOX12B,5.3967185,0.18479766
ALOX12P2,5.404456,0.25213745
ALOX15,5.4884057,0.19846259
ALOX15B,6.2593493,1.1370671
ALOX5,9.028618,0.74869657
ALOX5AP,9.697195,1.0046148
ALOXE3,5.491896,0.17655598
ALPI,5.5896835,0.16549511
ALPK1,7.305113,0.41463426
ALPK2,6.261043,0.60785973
ALPK3,5.3488226,0.1548187
ALPL,7.748024,1.0787708
ALPP,10.728732,0.7985029
ALS2,8.057156,0.3157124
ALS2CL,5.5692997,0.2502199
ALX1,5.3314466,0.24967909
ALX3,5.552197,0.16397613
ALX4,5.290357,0.1446557
AMAC1L3,5.4220166,0.118554994
AMACR,6.3644547,0.44112065
AMBN,5.35348,0.14041062
AMBP,5.476375,0.17428498
AMBRA1,5.65774,0.17806122
AMD1,7.1063123,0.72591513
AMDHD1,5.868403,0.4631727
AMDHD2,7.567788,0.47957852
AMELX,5.350339,0.14207722
AMELY,5.4717717,0.13493253
