Hugo_Symbol,mean,sd
A1BG,7.1353903,1.1641216
A1CF,0.117486045,0.29923275
A2M,13.467439,1.0005275
A2ML1,3.4080334,3.3344545
A4GALT,8.043088,1.1210461
A4GNT,0.64272183,0.65733236
AAA1,0.064917006,0.29146013
AAAS,9.438949,0.43466356
AACS,9.9716425,0.6646392
AADAC,1.1790992,1.5136663
AADACL2,0.16006008,0.618985
AADACL3,0.18317242,0.5779237
AADACL4,0.04097571,0.1696178
AADAT,5.5469074,1.5740846
AAK1,9.774277,0.51605064
AAMP,11.211579,0.4815887
AANAT,0.42441764,0.5257954
AARS2,8.797797,0.5366329
AASDH,8.186051,0.5550372
AASDHPPT,9.679448,0.5689541
AASS,7.367258,1.0913352
AATBC,4.8836865,1.5403496
AATF,10.272026,0.5648608
AATK,5.7889986,1.3935533
ABAT,9.526782,1.8989997
ABCA1,9.480206,0.92195
ABCA10,3.6648998,1.7369112
ABCA11P,6.652049,0.7102949
ABCA12,6.6889596,3.015021
ABCA13,2.1867325,2.3386748
ABCA17P,3.4515715,1.2858685
ABCA2,10.275618,0.8448728
ABCA3,10.743324,1.1505309
ABCA4,4.8267074,2.12955
ABCA5,7.9523573,1.1213949
ABCA6,5.9770164,1.7016144
ABCA7,8.207734,0.9576951
ABCA8,5.5341544,2.4996307
ABCA9,5.4372888,1.873246
ABCB1,5.789801,1.5783637
ABCB10,9.019733,0.58266324
ABCB11,0.8625384,1.0114342
ABCB4,4.6677866,1.0341989
ABCB5,2.0325637,1.6257846
ABCB6,8.918716,0.8606822
ABCB7,8.760197,0.44396338
ABCB8,9.439668,0.60960996
ABCB9,7.5360346,0.960586
ABCC1,10.314607,0.63317454
ABCC10,8.73001,0.54517174
ABCC11,7.5629077,3.4641047
ABCC12,2.4171479,2.48927
ABCC13,2.5578213,2.870774
ABCC2,3.3682816,1.7362417
ABCC3,8.373727,1.5386121
ABCC4,7.143906,1.4447603
ABCC5,10.299418,1.0820438
ABCC6,5.448917,1.9166344
ABCC8,5.65492,3.0461843
ABCC9,7.3770046,1.245824
ABCD1,8.75721,0.86168015
ABCD2,3.728134,1.6271766
ABCD3,10.958599,0.8374665
ABCD4,8.738836,0.5740907
ABCE1,10.657819,0.5313832
ABCF1,10.825943,0.47186062
ABCF2,10.402105,0.42316088
ABCF3,10.223204,0.42865607
ABCG1,9.78905,0.9974997
ABCG2,5.7513223,1.3885514
ABCG4,1.7556132,0.78168553
ABCG5,1.3281562,0.808381
ABCG8,0.47957867,0.7574163
ABHD1,3.9605958,1.3223165
ABHD10,9.347342,0.50176674
ABHD11,9.896883,0.88008654
ABHD12,10.644606,0.67274094
ABHD12B,2.4245481,2.2780418
ABHD13,8.728862,0.5256557
ABHD14A,7.8340406,0.84628135
ABHD14B,10.431607,0.6982768
ABHD15,8.43213,0.72647786
ABHD2,12.020859,1.1625851
ABHD3,8.910499,0.8859426
ABHD4,9.745199,0.620157
ABHD5,9.591135,0.509958
ABHD6,6.918434,0.8075584
ABHD8,8.035195,0.76099694
ABI1,10.569332,0.44284245
ABI2,10.296531,0.52905834
ABI3,7.477099,0.8691586
ABI3BP,7.8644695,1.896051
ABL1,11.012178,0.46151668
ABL2,10.178395,0.5430239
ABLIM1,11.018556,0.9098492
ABLIM2,6.042485,1.1214869
ABLIM3,8.764184,1.6990879
ABO,2.7276785,1.7845562
ABR,10.693577,0.56481165
ABRA,0.43020737,0.62234676
ABT1,9.235007,0.48011073
ABTB1,8.622627,0.8188744
ABTB2,6.871203,1.4628295
