gene,mean_abs_shap
PGR,0.20686635
IFNG,0.18479875
IGF1R,0.15498301
CD8A,0.14595121
MAPT,0.13547093
SHCBP1,0.13448633
FGFR4,0.12821816
NDC80,0.12370167
CCNE1,0.11891963
GTSE1,0.11057764
RRM2,0.10710185
SCUBE2,0.106162734
TROAP,0.105506055
PTTG1,0.1035333
BAG1,0.098055184
UBE2C,0.09095981
NCAPG,0.086482495
CKAP2L,0.082070135
GREB1,0.07947956
BUB1B,0.07845257
BCL2,0.07143695
CENPE,0.071203105
RACGAP1,0.06788182
KIF2C,0.06124109
PLK1,0.054437973
FOXM1,0.05296888
MKI67,0.046980217
CDC20,0.044924576
KIF23,0.038101964
BUB1,0.031695507
